community,cluster,residents
10000476,1,5835
10000488,2,6838
10000490,616,788
10000506,1358,2567
10000518,5,13409
10000520,732,1152
10000531,601,4881
10000543,8,8792
10000555,9,4788
10000567,10,35166
10000580,11,5494
10001249,882,14445
10001250,243,2956
10001262,837,1077
10001274,15,4461
10001286,16,2541
10001304,17,2609
10001316,661,1844
10001330,19,4246
10001353,20,2391
10001365,566,1290
10001377,22,6735
10001389,23,128797
10001390,24,5746
10001419,25,13368
10001420,237,678
10001432,412,5703
10001444,196,64778
10001456,584,5786
10001468,30,56137
10001470,31,4874
10001481,32,6792
10001493,852,334
10001500,226,1126
10001511,228,1167
10001523,37,2019
10001535,37,5641
10001547,598,1938
10001559,39,3900
10001560,860,526
10001572,41,3189
10001596,42,3062
10001602,238,550
10001614,44,11043
10001638,45,6547
10001640,1407,2386
10001663,1521,990
10001675,1250,2984
10001687,1572,3065
10001699,1652,5612
10001705,1269,1495
10001717,1680,1821
10001729,809,2764
10001730,54,6113
10001742,55,5440
10001754,56,5331
10001766,57,10207
10001780,58,3797
10001791,1252,2615
10001808,882,8474
10001810,266,106108
10001821,882,25189
10001845,885,1802
10001857,64,3329
10001869,65,4164
10001870,66,9609
10001882,456,2847
10001894,68,5682
10001900,270,2344
10001912,70,8055
10001924,533,2338
10001936,72,8343
10001948,1405,1250
10001961,107,1707
10001973,75,8361
10001985,76,3067
10001997,1406,3978
10002000,1677,1764
10002011,1336,2190
10002023,80,8514
10002060,81,8534
10002084,82,7177
10002096,83,5895
10002102,84,9111
10002114,85,2933
10002126,1104,6783
10002138,1597,2011
10002140,463,1049
10002175,882,1040
10002187,1544,2584
10002199,290,856
10002205,92,6249
10002217,1485,897
10002229,1272,953
10002230,882,1100
10002242,687,9555
10002278,617,1990
10002280,98,5517
10002291,1358,1509
10002310,792,208
10002321,1283,2237
10002357,940,7275
10002369,1140,14039
10002382,104,1804
10002394,321,1237
10002412,939,333
10002424,107,20319
10002448,108,5546
10002450,109,8627
10002461,519,1988
10002473,519,14036
10002485,112,11393
10002497,113,4547
10002515,757,2686
10002539,115,7861
10002540,116,22504
10002552,117,3519
10002564,118,4855
10002588,1139,1737
10002590,691,11849
10002618,1186,907
10002631,311,3221
10002643,1423,957
10002655,124,2137
10002667,125,5335
10002679,126,6091
10002680,127,10028
10002709,125,2584
10002710,484,2502
10002722,550,5546
10002734,813,3513
10002746,132,2425
10002758,133,3432
10002760,623,2412
10002771,1293,1875
10002783,1160,3116
10002795,1168,9209
10002801,138,6963
10002813,712,3786
10002825,1386,1125
10002837,1500,6125
10002849,380,2170
10002850,1531,4942
10002862,1510,2470
10002886,1531,3951
10002898,146,6266
10002916,147,9760
10002928,582,3445
10002930,149,4186
10002941,150,4979
10002953,576,2112
10002965,159,2980
10002977,153,4324
10002989,1615,1746
10002990,155,4505
10003027,156,10934
10003039,1391,2597
10003040,576,3567
10003052,159,8650
10003064,160,4027
10003076,1228,2067
10003088,982,272
10003090,163,7185
10003106,164,1802
10003120,163,11330
10003131,1367,7387
10003143,167,738
10003155,1369,2231
10003179,169,93339
10003180,170,10129
10003192,171,24223
10003209,172,9574
10003222,1195,6854
10003234,174,5793
10003349,175,20454
10003362,564,2606
10003374,1427,1904
10003386,178,10303
10003398,566,995
10003404,180,10431
10003416,181,9118
10003428,182,4633
10003430,567,338
10003441,1374,3293
10006960,185,3766
10007630,186,4473
10008207,379,1997
10008414,1006,1516
10009066,1326,17374
10009352,185,2373
10009390,1014,2287
10013525,1760,2504
10019448,1324,2441
10023713,72,2823
10023725,195,5449
10023737,196,25975
10023749,715,5444
10023750,198,13568
10023762,1491,2746
10023774,117,810
10023786,1141,6092
10023798,1412,1503
10023804,269,6888
10023816,204,16355
10023828,518,2864
10023830,206,13677
10025217,836,3126
10025242,208,2699
10025254,206,3386
10025266,210,5272
10025278,1041,998
10025280,1237,828
10025291,213,4516
10025308,889,1895
10025321,215,4360
10025333,216,5715
10025345,217,8704
10025369,801,671
10025370,266,11357
10025394,220,4686
10025400,221,7021
10025412,222,3711
10025424,1439,9355
10025436,224,4606
10025450,1629,1786
10025461,226,2790
10025473,428,1434
10025485,228,3412
10025497,906,1137
10025503,689,1938
10025515,231,9389
10025527,232,6889
10025539,233,4356
10025540,436,2412
10025552,235,2793
10025564,236,4761
10025576,237,4029
10025588,238,5884
10025590,239,5342
10025606,240,3744
10025618,1600,16723
10025620,242,4550
10025631,243,5904
10025643,244,5538
10025667,245,10057
10025680,1249,2863
10025709,1249,2361
10025710,248,5814
10025722,249,9718
10025734,1077,1207
10025746,1549,4413
10025758,252,3189
10025760,445,6451
10025771,1075,10783
10025783,1075,3306
10025801,873,2220
10025813,882,32742
10025825,1524,43562
10025837,882,158838
10025849,882,71734
10025850,882,27991
10025862,1600,18390
10025874,584,7411
10025886,889,3279
10025898,1349,2566
10025904,266,128132
10025916,70,3073
10025930,268,4006
10025941,269,9728
10025953,270,3798
10025965,70,1452
10025977,613,2158
10026015,273,5453
10026027,1261,8235
10026039,275,3642
10026040,276,4505
10026052,1264,2785
10026064,278,6666
10026076,80,1340
10026090,1231,1572
10026106,817,1744
10026118,282,5226
10026120,283,4062
10026131,284,3726
10026143,285,11263
10026155,286,9745
10026167,287,7329
10026179,682,932
10026180,1113,2429
10026192,290,3934
10026209,290,2969
10026222,462,1233
10026234,293,5689
10026246,294,7119
10026260,295,4237
10026271,296,16833
10026283,464,2605
10026295,422,1425
10026301,299,3689
10026313,300,5405
10026337,301,3235
10026350,475,5790
10026362,1358,1512
10026374,1283,3434
10026386,781,4397
10026398,610,3124
10026404,796,2247
10026416,792,2010
10026428,309,4513
10026430,918,2138
10026465,311,14615
10026477,312,5967
10026489,796,2368
10026507,314,3798
10026532,315,7410
10026568,316,23876
10026570,615,7485
10026593,115,5692
10026600,319,5699
10026611,320,5249
10026623,321,10110
10026635,322,52242
10026647,323,6740
10026660,324,4721
10026672,1139,2430
10026696,781,2006
10026702,24,3286
10026714,1286,1303
10026726,164,2327
10026740,330,9920
10026751,1684,4149
10026763,332,3632
10026775,333,3761
10026787,621,3214
10026799,485,752
10026817,336,19095
10026829,550,8126
10026830,1172,1640
10026842,339,9291
10026854,340,4127
10026866,623,646
10026880,342,3472
10026891,343,13237
10026908,344,11533
10026921,345,12057
10026933,346,5819
10026957,1027,3056
10026969,348,18844
10026970,1501,3187
10026982,974,3031
10026994,387,706
10027007,352,4174
10027019,1309,1533
10027020,993,5112
10027044,995,2569
10027056,1667,6847
10027068,357,7514
10027070,358,7806
10027081,1432,1046
10027100,704,806
10027111,361,5127
10027123,156,1195
10027135,1615,539
10027147,364,4685
10027159,23,923
10027160,156,610
10027172,1614,1362
10027196,1185,582
10027202,978,2760
10027214,370,13695
10027226,371,21845
10027238,372,6610
10027240,373,3812
10027251,374,27683
10027263,375,9254
10027275,376,10064
10027299,376,2507
10027305,378,15082
10027317,379,352214
10027329,380,42945
10027330,974,9808
10027342,171,3258
10027354,1450,4827
10027366,562,10636
10027378,990,3767
10027380,510,3030
10027391,387,8389
10027470,388,62844
10027482,997,4436
10027494,828,10054
10027500,564,5595
10027512,1194,10029
10027524,828,4280
10027548,178,7683
10027550,1195,7141
10027561,388,10388
10027573,333,1306
10027585,1373,2511
10027597,1441,2090
10027603,400,26156
10027615,1003,712
10027627,402,4320
10034401,403,13392
10034425,232,992
10034437,405,3281
10034449,266,61669
10034450,809,2854
10034462,309,3640
10034486,409,3256
10034498,978,3185
10034504,691,6022
10034528,412,3147
10038832,416,1174
10039393,1763,838
10039836,415,1584
10040085,416,15394
10040218,1006,1288
10041430,343,7846
10041442,1623,1482
10041454,589,1845
10041466,1075,15660
10041480,422,4065
10041879,423,6363
10041880,424,5021
10041892,425,6018
10041909,426,3250
10041922,427,4025
10041934,428,4065
10041946,429,28141
10041958,1600,14533
10041960,851,1847
10041971,432,5860
10041983,433,4012
10041995,434,6723
10042008,526,1572
10042021,436,4869
10042045,1631,1801
10042057,438,12037
10042069,770,2319
10042070,440,5661
10042082,1652,5104
10042094,442,5645
10042100,1521,4088
10042112,1300,819
10042124,445,13104
10042136,446,14356
10042148,1077,1684
10042150,882,72258
10042161,882,25700
10042185,889,725
10042197,1244,2266
10042203,452,9248
10042215,1477,2469
10042240,273,1082
10042252,76,446
10042264,456,38653
10042276,1664,2049
10042290,458,4105
10042306,1043,3099
10042318,460,3373
10042320,1551,1685
10042331,462,4716
10042343,463,6134
10042355,464,3438
10042367,684,2383
10042379,684,2317
10042380,309,1647
10042392,468,5743
10042409,927,3339
10042410,104,666
10042422,471,7282
10042434,11,2567
10042460,322,1208
10042471,792,1149
10042483,475,13279
10042513,112,589
10042537,477,6989
10042549,11,6845
10042550,1305,7857
10042574,480,5022
10042586,481,4776
10042598,753,3179
10042604,126,2998
10042616,484,4232
10042628,485,3186
10042630,336,2045
10042641,159,146
10042665,342,818
10042677,1293,898
10042689,830,6753
10042690,830,2208
10042707,708,4283
10042719,967,4679
10042720,1196,2066
10042732,1462,12396
10042744,496,123788
10042756,954,3145
10042768,499,1353
10042770,499,10189
10042781,735,1489
10042793,501,15135
10042800,983,1543
10042811,982,1245
10042823,159,14631
10042835,1213,1542
10042847,371,5836
10042859,507,9762
10042884,1195,113544
10042896,970,4942
10042938,510,6742
10042963,182,1335
10042975,512,5070
10042987,336,16163
10044649,1712,2917
10044870,1747,2811
10046786,416,2213
10048850,517,10816
10054540,518,4520
10054552,519,59987
10054564,147,2188
10054862,521,5833
10054874,1196,4598
10054886,1442,787
10054898,524,3560
10054904,525,5261
10054916,526,6365
10054928,527,5307
10054930,1392,832
10054953,529,15444
10054965,54,5926
10054989,531,5701
10054990,882,20109
10055015,533,1680
10055027,1217,2710
10055039,535,1874
10055040,536,13987
10055052,456,2837
10055064,605,1561
10055076,1761,2162
10055088,540,11865
10055090,1486,928
10055106,542,5189
10055120,403,4028
10055131,940,6469
10055143,1287,2204
10055179,546,5354
10055180,1577,1751
10055192,548,9105
10055209,736,985
10055222,550,18553
10055234,1154,8390
10055246,552,8847
10055258,315,3575
10055260,554,11975
10055271,555,63727
10055283,708,3770
10055295,1531,6979
10055301,1667,2694
10055313,559,8921
10055337,560,4656
10055349,1192,1415
10055350,562,60531
10055362,1462,5506
10055398,564,18397
10055404,181,1938
10055416,566,11380
10055428,567,8645
10057980,568,5770
10057991,1524,76351
10058004,570,21603
10059770,1324,1199
10059914,416,796
10060205,573,7665
10061040,1027,1674
10061064,575,27498
10061076,576,8271
10061088,577,17195
10061477,578,26710
10061489,579,8877
10061490,580,23579
10061507,581,1584
10061519,582,31364
10061520,583,5231
10061544,584,6359
10061556,1629,2217
10061568,586,4859
10061570,587,2987
10061581,588,3999
10061593,589,2438
10061600,1600,14865
10061611,1470,1936
10061623,1621,855
10061635,826,574
10061647,594,5480
10061659,719,1371
10061660,1524,50007
10061672,1064,1560
10061684,598,6058
10061702,266,14706
10061714,600,7825
10061726,601,21905
10061738,602,7459
10061740,1407,3415
10061763,901,2238
10061775,605,4671
10061787,606,5539
10061799,607,2867
10061829,608,2714
10061830,510,2419
10061842,610,5274
10061854,1358,1232
10061878,312,472
10061910,613,2268
10061921,613,1656
10061933,615,4204
10061945,616,5417
10061957,617,11940
10061969,1139,2999
10061970,312,683
10061982,620,26252
10061994,621,10613
10062019,159,5337
10062020,623,3568
10062032,712,3171
10062044,936,17845
10062056,147,4749
10062068,627,7975
10062070,755,2748
10062093,496,1066
10062100,10,10899
10062111,364,601
10062159,632,6212
10062160,375,3761
10062172,634,11872
10062184,147,956
10062196,379,389
10062251,160,440
10062263,1207,7604
10062287,639,8238
10063887,640,6851
10064284,1519,946
10064363,415,588
10064594,1011,644
10064661,644,11251
10067303,1702,834
10067807,1362,1096
10068022,1227,598
10068034,153,3495
10068046,649,3774
10068435,650,9586
10068447,617,1373
10069040,1192,723
10070296,1006,1617
10070855,654,15775
10073297,655,102418
10073303,266,8056
10073315,559,1149
10073327,658,5121
10073339,659,4383
10073960,575,652
10073972,661,2907
10073984,795,1904
10074009,1160,2884
10074046,664,3638
10074058,665,6871
10074060,586,1174
10074071,1590,676
10074083,1064,5968
10074095,799,5222
10074101,670,15276
10074113,1075,3967
10074125,529,1036
10074137,25,6747
10074149,882,43665
10074150,196,28909
10074162,68,1559
10074198,1261,6390
10074204,1135,1313
10074216,679,2491
10074228,85,1245
10074241,910,1270
10074253,682,5419
10074265,683,6641
10074277,684,3955
10074289,1669,1716
10074307,468,6070
10074319,687,6645
10074320,610,2781
10074344,689,2049
10074368,690,21837
10074381,691,53862
10074400,692,4094
10074411,941,2635
10074423,1541,1219
10074435,695,5770
10074447,132,2463
10074459,345,3391
10074460,1363,5320
10074472,936,3286
10074484,409,2252
10074496,1195,7702
10074514,702,5425
10074526,10,4838
10074538,704,8596
10074540,705,2339
10074551,706,12194
10074563,1187,5380
10074587,708,21123
10074599,995,2140
10074617,1510,8739
10074642,711,15524
10074654,712,5470
10074666,713,7802
10074678,714,4861
10074680,715,10269
10077679,1407,2676
10077680,792,162
10077692,169,7562
10081385,719,2257
10081476,1383,2059
10081488,947,7354
10081490,882,16812
10081506,1250,1589
10081520,903,1192
10081531,725,5817
10081543,1052,543
10081555,727,18041
10081579,708,14923
10081580,995,3387
10084325,1392,1254
10084337,1761,900
10084349,732,4154
10084350,323,3415
10085214,517,3839
10085743,735,6033
10085767,736,4464
10086358,737,2850
10086530,830,5868
10086541,739,4264
10086553,990,4815
10086681,39,1782
10086693,116,2510
10086700,743,6626
10086760,744,1800
10086772,1163,8805
10086980,882,22823
10086991,747,2505
10087211,748,4588
10087223,65,3371
10087235,380,3974
10087612,751,4267
10087650,752,4547
10087831,753,10979
10088082,167,648
10088616,755,3202
10088628,266,71087
10088630,757,8992
10088641,1198,9154
10088653,759,4402
10088800,760,8379
10088811,1763,2611
10089645,1337,1056
10089657,1521,1975
10089669,314,2578
10090660,1262,2148
10092334,57,1726
10092711,138,5218
10092899,768,4559
10093200,769,10630
10093247,770,13151
10093259,1244,2531
10093260,772,9430
10093272,1358,1511
10093284,153,1684
10094124,775,6324
10094136,776,34404
10094148,379,38948
10094604,1599,629
10095025,970,3476
10095037,1479,1828
10095920,781,38343
10095979,782,17786
10095980,783,5229
10095992,784,3950
10096005,615,1820
10096029,947,9973
10096042,1195,353
10096340,788,3574
10096455,1724,665
10097472,507,6107
10097484,252,3069
10097502,792,4974
10097514,387,2276
10097526,1171,936
10098440,795,5434
10098464,796,3825
10100641,1175,7777
10100938,649,1258
10100940,799,11482
10100951,37,3384
10100975,801,8991
10100987,519,6972
10100999,803,9793
10101001,804,442239
10101013,1047,556
10101189,806,4650
10102406,1066,3265
10102418,664,2294
10102420,809,1710
10102431,882,452
10102443,1262,451
10102455,812,6078
10102467,813,10345
10102479,172,7530
10102480,1296,1300
10102870,664,1903
10103332,817,4006
10103344,946,1765
10104099,1300,1064
10105183,82,5797
10105882,821,28354
10106620,132,1376
10106655,926,2430
10106667,824,4194
10106679,825,5779
10106680,826,859
10106692,1261,4561
10106709,828,9473
10106710,829,7379
10106722,830,117650
10106746,42,856
10106758,1064,589
10107477,833,10877
10107489,834,62768
10107490,16,1183
10107507,836,5885
10107519,837,2920
10107520,1628,3154
10107532,1574,1276
10107544,213,2514
10107556,1385,2262
10107568,580,6465
10107581,843,2825
10107593,1501,1406
10107600,1139,503
10107611,312,1441
10107635,747,9746
10107647,848,7621
10107659,576,1333
10107660,1064,8396
10107672,851,4319
10107684,852,8416
10107696,853,24561
10107702,1240,1429
10107714,855,3754
10107726,856,6904
10107738,857,5140
10107763,858,7107
10107775,859,6169
10107799,860,3363
10107805,1392,1138
10107817,862,3696
10107829,1340,1297
10107830,882,81593
10107866,425,1564
10107878,900,2332
10107880,867,6044
10107891,248,1876
10107910,248,956
10107921,867,2797
10107933,783,1038
10107945,1184,3822
10107957,873,4682
10107969,874,13568
10107970,1524,8373
10107982,876,3762
10107994,877,23486
10108007,878,5687
10108019,879,3796
10108020,880,7034
10108032,882,120739
10108044,882,86299
10108056,851,29545
10108068,882,590
10108070,885,5909
10108081,405,1320
10108093,882,1100
10108100,888,2689
10108111,889,4041
10108123,890,4965
10108159,266,35018
10108172,442,2779
10108184,600,907
10108196,1091,3223
10108202,601,2605
10108226,896,7841
10108238,1481,1914
10108240,898,3659
10108251,679,1774
10108263,900,12289
10108287,901,16951
10108299,1761,1517
10108317,903,9078
10108329,904,7557
10108330,905,5253
10108342,906,1455
10108366,583,3278
10108378,1432,911
10108380,682,1720
10108408,910,3183
10108410,540,1415
10108433,912,26001
10108445,598,559
10108457,914,4481
10108469,1485,913
10108470,1623,1591
10108482,104,846
10108494,918,4331
10108500,468,9817
10108536,98,2215
10108550,940,4421
10108561,1541,626
10108573,312,1000
10108597,792,1637
10108603,403,2331
10108615,926,4163
10108627,927,9350
10108639,928,11318
10108652,1184,1690
10108688,930,12688
10108690,931,5692
10108720,348,1318
10108731,933,3883
10108743,934,6578
10108755,1211,2632
10108767,936,12567
10108779,776,15883
10108780,623,1937
10108792,939,26462
10108809,940,229453
10108810,941,19235
10108834,1139,4230
10108858,1145,2005
10108871,617,3709
10108895,1551,1844
10108901,946,4530
10108913,947,119126
10108925,753,1865
10108937,484,5297
10108949,947,7180
10108950,947,2142
10108962,952,5470
10108974,159,5516
10108986,954,3431
10109000,623,2228
10109012,623,1839
10109024,1160,1256
10109036,752,3321
10109048,115,1356
10109050,344,10083
10109061,1314,1668
10109073,962,13161
10109085,316,13949
10109097,964,10852
10109103,964,9993
10109115,174,1929
10109127,967,22494
10109139,1194,4599
10109152,990,8556
10109164,970,13777
10109176,995,3386
10109188,972,5975
10109190,146,2215
10109206,974,41881
10109218,975,12133
10109220,976,7492
10109267,301,2786
10109279,978,44174
10109280,112,895
10109292,1374,1771
10109309,160,1945
10109310,982,2751
10109334,983,5586
10109358,375,5857
10109360,1306,3465
10109383,986,5326
10109395,1307,6442
10109401,988,5534
10109413,989,3917
10109425,990,24549
10109437,991,22989
10109449,992,15240
10109450,993,35055
10109462,1659,1708
10109474,995,10969
10109486,379,2594
10109620,997,63034
10109632,828,1383
10109644,388,6516
10109656,566,1547
10109668,1606,953
10109670,848,3739
10109700,1003,58718
10109711,982,447
10113131,535,2002
10113179,1006,2210
10113180,1712,453
10113611,1008,14489
10113635,1009,6018
10113647,1010,4256
10114081,1011,3247
10114380,1012,18382
10114792,1013,16264
10114822,1014,4934
10114871,1330,3033
10114949,1627,2157
10115565,1017,2834
10116363,1018,3763
10117434,1324,2364
10119339,1020,3979
10121360,1710,10221
10127178,1022,9739
10127300,1023,9376
10133518,1098,3372
10133531,1025,7833
10133555,1026,3754
10133567,1027,8796
10133579,116,3513
10133580,1029,27835
10133592,1030,4744
10133610,882,88421
10133622,1032,4407
10135000,578,2370
10135011,1034,4941
10135023,1035,4554
10135035,425,3289
10135047,834,1321
10135059,521,3343
10135060,1039,9892
10135072,19,1835
10135084,1041,3368
10135102,20,2241
10135140,1043,4144
10135151,1403,2587
10135163,882,147923
10135175,848,1483
10135187,1047,9184
10135199,1048,6427
10135205,852,1602
10135217,1050,6633
10135230,658,2065
10135242,1052,4374
10135254,1337,5520
10135266,1337,326
10135278,1055,5755
10135280,37,1730
10135291,37,1085
10135308,436,777
10135310,1059,12718
10135321,1060,34577
10135333,1392,1805
10135345,235,1747
10135357,589,3337
10135369,1064,17337
10135370,770,6594
10135382,1066,4550
10135400,1067,7267
10135412,1068,9509
10135424,1069,3674
10135436,248,3207
10135448,1071,4506
10135450,1184,2404
10135461,1073,18882
10135473,1075,14747
10135485,1075,10916
10135497,670,3280
10135515,1077,8226
10135539,882,75203
10135540,266,37315
10135552,882,63861
10135564,882,143458
10135576,882,81001
10135588,851,8245
10135606,66,3415
10135618,72,43718
10135631,1349,1344
10135643,1405,1060
10135655,266,56403
10135679,266,56605
10135680,533,8735
10135692,1091,4848
10135710,1406,1346
10135722,76,2500
10135734,1406,654
10135746,601,658
10135758,1096,5564
10135760,1097,67176
10135771,1098,5181
10135783,1099,5875
10135795,278,1695
10135825,784,1098
10135837,1102,4434
10135849,812,2150
10135850,1104,11710
10135862,290,1919
10135874,607,1717
10135886,1412,1349
10135898,1108,5170
10135904,293,347
10135916,1113,721
10135928,462,2046
10135930,882,1898
10135941,1113,3847
10135953,299,1315
10135965,1115,7447
10135989,608,618
10135990,914,1164
10136003,1118,5265
10136015,299,2369
10136027,321,3047
10136039,940,3054
10136040,1374,5680
10136052,610,4960
10136064,312,1479
10136076,939,5723
10136088,1287,6289
10136090,1283,3005
10136106,314,1595
10136120,104,758
10136143,98,2332
10136155,1131,5915
10136167,1492,7029
10136222,1134,1165
10136234,1134,13412
10136246,1135,4284
10136258,1134,3284
10136271,601,382
10136283,1138,23435
10136295,1139,123879
10136301,1140,28042
